Season,Week,Away,Home,Date,Road Open Spread,Road Close Spread,Opening Total,Home Open Spread,Home Close Spread,Closing Total,
2018,1,ATL,PHI,2018-09-06, 4,1,46.5,-4,-1,44.5,
2018,1,BUF,BAL,2018-09-09, 3.5,7.5,42.5,-3.5,-7.5,39,
2018,1,CIN,IND,2018-09-09, 2,-1,47,-2,1,47.5,
2018,1,HOU,NE,2018-09-09, 6.5,6,51,-6.5,-6,49.5,
2018,1,JAC,NYG,2018-09-09, -3.5,-2.5,44,3.5,2.5,43,
2018,1,PIT,CLE,2018-09-09, -6.5,-3.5,47,6.5,3.5,41,
2018,1,SF,MIN,2018-09-09, 4.5,6,47,-4.5,-6,46.5,
2018,1,TB,NO,2018-09-09, 7,10,51.5,-7,-10,50,
2018,1,TEN,MIA,2018-09-09, -2.5,-1,46.5,2.5,1,43.5,
2018,1,KC,LAC,2018-09-09, 3,3.5,47.5,-3,-3.5,48,
2018,1,DAL,CAR,2018-09-09, 2.5,2.5,44,-2.5,-2.5,42.5,
2018,1,SEA,DEN,2018-09-09, 1.5,3,42,-1.5,-3,42.5,
2018,1,WAS,ARI,2018-09-09, 0,2,44,0,-2,43.5,
2018,1,CHI,GB,2018-09-09, 8.5,6.5,48,-8.5,-6.5,45,
2018,1,NYJ,DET,2018-09-10, 6.5,7,44,-6.5,-7,44,
2018,1,LAR,OAK,2018-09-10, -2.5,-6,49.5,2.5,6,47.5,
2017,1,KC,NE,2017-09-07, 7.5,8,48.5,-7.5,-8,47.5,
2017,1,JAC,HOU,2017-09-10, 4.5,5.5,42,-4.5,-5.5,38,
2017,1,NYJ,BUF,2017-09-10, 6,7,42.5,-6,-7,42,
2017,1,PHI,WAS,2017-09-10, 2.5,-2,48,-2.5,2,49.5,
2017,1,OAK,TEN,2017-09-10, -1,2.5,51.5,1,-2.5,49.5,
2017,1,ATL,CHI,2017-09-10, -7,-6.5,50.5,7,6.5,48,
2017,1,BAL,CIN,2017-09-10, 2.5,2.5,43,-2.5,-2.5,41.5,
2017,1,PIT,CLE,2017-09-10, -9,-10,47.5,9,10,47,
